name,homepage,description,languages
.NET Analyzers,https://github.com/DotNetAnalyzers,An organization for the development of analyzers (diagnostics and code fixes) using the .NET Compiler Platform,csharp,N
abaplint,https://abaplint.org/,"Linter for ABAP, written in TypeScript.",abap,N
abapOpenChecks,https://docs.abapopenchecks.org/,Enhances the SAP Code Inspector with new and customizable checks,abap,N
aether,http://aetherjs.com/,"Lint, analyze, normalize, transform, sandbox, run, step through, and visualize user JavaScript, in node or the browser.",javascript,N
After the Deadline,https://afterthedeadline.com/,"Spell, style and grammar checker.",writing,N
ale,https://github.com/w0rp/ale,Asynchronous Lint Engine for Vim and NeoVim with support for many languages,ide,N
alex,https://alexjs.com/,"Catch insensitive, inconsiderate writin",writing,N
aligncheck,https://gitlab.com/opennota/check,Find inefficiently packed structs,go,N
ameba,https://crystal-ameba.github.io/,A static code analysis tool for Crystal,crystal,N
anchore,https://anchore.io/,"Discover, analyze, and certify container images.",container,N
Android Lint,http://tools.android.com/tips/lint,Run static analysis on Android projects,mobile,N
Android Studio,https://developer.android.com/studio,"Based on IntelliJ IDEA, and comes bundled with tools for Android including Android Lint.",ide,N
android-lint-summary,https://passy.github.io/android-lint-summary/,"Combines lint errors of multiple projects into one output, check lint results of multiple sub-projects at once.",mobile,N
ansible-lint,https://docs.ansible.com/ansible-lint/,Checks playbooks for practices and behaviour that could potentially be improved,configmanagement,N
AppChecker,https://npo-echelon.ru/en/solutions/appchecker.php,"Static analysis for C/C++/C#, PHP and Java.","c, cpp, java, php",Y
Application Inspector,https://www.ptsecurity.com/ww-en/products/ai/,Commercial Static Code Analysis which generates exploits to verify vulnerabilities.,"asp, c, cpp, csharp, html, java, javascript, objectivec, php, sql, swift, vbnet",Y
ApplicationInspector,https://github.com/microsoft/ApplicationInspector,Creates reports of over 400 rule patterns for feature detection (e.g. the use of cryptography or version control in apps).,"c, cpp, csharp, go, html, java, javascript, objectivec, php, powershell, python, ruby",N
AppScan Source,https://www.hcltechsw.com/wps/portal/products/appscan/home,Commercial Static Code Analysis.,"asp, aspnet, c, csharp, cobol, coldfusion, cpp, java, javascript, jsp, mobile, perl, php, plsql, tsql, vbasic, vbnet, vbscript",Y
APPscreener,https://solarappscreener.com/,"Static code analysis for binary and source code - Java/Scala, PHP, Javascript, C#, PL/SQL, Python, T-SQL, C/C++, ObjectiveC/Swift, Visual Basic 6.0, Ruby, Delphi, ABAP, HTML5 and Solidity.","java, scala, php, javascript, csharp, plsql, python, tsql, c, cpp, objectivec, swift, vbasic, ruby, delphi, abap, html, smart",Y
ArchUnit,https://www.archunit.org/,Unit test your Java or Kotlin architecture,"java, kotlin",N
ArchUnitNET,https://github.com/TNG/ArchUnitNET, A C# architecture test library to specify and assert architecture rules in C# for automated testing,csharp,N
Astrée,https://www.absint.com/astree/index.htm,"Sound static analyzer based on abstract interpretation for C/C++, detecting memory, type and concurrency defects, and MISRA violations.","c, cpp",Y
Atom-Beautify,https://atom.io/packages/atom-beautify,"Beautify HTML, CSS, JavaScript, PHP, Python, Ruby, Java, C, C++, C#, Objective-C, CoffeeScript, TypeScript, Coldfusion, SQL, and more in Atom editor","html, css, javascript, php, python, ruby, java, c, cpp, csharp, objectivec, coffeescript, typescript, coldfusion, sql",N
Attackflow Extension,https://www.attackflow.com/Extension,"Attackflow plugin for Visual Studio, which enables developers to find critical security bugs at real time in the source code without any prior knowledge.",ide,Y
Axivion Bauhaus Suite,https://www.axivion.com/en/products-services-9#products_bauhaussuite,"Tracks down error-prone code locations, style violations, cloned or dead code, cyclic dependencies and more for C/C++, C#/.NET, Java and Ada 83/Ada 95.","c, cpp, java, php",Y
bandit,https://bandit.readthedocs.io/en/latest/,A tool to find common security issues in Python code,python,N
bellybutton,https://github.com/hchasestevens/bellybutton,A linting engine supporting custom project-specific rules,python,N
Better Code Hub,https://bettercodehub.com,"Better Code Hub checks your GitHub codebase against 10 engineering guidelines devised by the authority in software quality, Software Improvement Group","csharp, cpp, go, groovy, java, javascript, objectivec, perl, php, python, ruby, scala, shell, smart, swift, typescript, kotlin",Y
BinSkim,https://github.com/Microsoft/binskim,A binary static analysis tool that provides security and correctness results for Windows portable executables,binary,N
Black,https://black.readthedocs.io/en/stable/,The uncompromising Python code formatter,"python, formatter",N
Black Duck,ttps://www.blackducksoftware.com,"Tool to analyze source code and binaries for reusable code, necessary licenses and potential security aspects",binary,Y
bodyclose,https://github.com/timakin/bodyclose,Checks whether HTTP response body is closed,go,N
Bootlint,https://github.com/twbs/bootlint,An HTML linter for Bootstrap projects,html,N
